run_id,stage_id,model_id,model_role,dataset_role,spike_def_id,target_rate,g,xmin,n_tail,alpha_powerlaw,lambda_exponential,lognorm_mu,lognorm_sigma,ll_powerlaw,ll_exponential,ll_lognormal,llr_powerlaw_vs_lognormal,llr_powerlaw_vs_exponential,config_hash,code_version
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,2e-05,1.3,5.0,7058,2.2184461090564334,0.07584109689135317,2.430155375904357,0.8051141662377067,-22815.542653156335,-25261.393372929448,-25636.933750017735,2821.3910968614,2445.8507197731124,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.7,7.0,5438,1.8528243883948612,0.020368338058977538,3.1184844956709683,1.1250535731889555,-23262.057140280624,-26612.341052965607,-25315.269533649665,2053.212393369042,3350.283912684983,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.8,7.0,5480,1.8510179068463595,0.020563237584194826,3.1209735548368998,1.1208228489820278,-23466.980235127387,-26765.692086476534,-25503.78404223896,2036.8038071115734,3298.7118513491478,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.85,7.0,5468,1.8496637209712607,0.020492832380773915,3.122846359603279,1.1234457685333683,-23434.541092045896,-26725.834753654763,-25470.957954084748,2036.4168620388518,3291.2936616088664,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.9,7.0,5498,1.8529927265814363,0.020622578309908816,3.1182530880247095,1.1193508097125144,-23516.360890615553,-26837.765491589533,-25565.37289263202,2049.012002016465,3321.4046009739795,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,0.95,7.0,5532,1.8555394376020122,0.02077715264371615,3.1147633381063,1.121810245166771,-23625.990508227165,-26962.422138654118,-25716.307139195917,2090.3166309687513,3336.4316304269523,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.0,7.0,5485,1.8564520253906671,0.02060333785342143,3.1135178729600512,1.1245134065623608,-23412.584542012853,-26779.427482491705,-25504.1904118356,2091.605869822746,3366.8429404788512,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.05,7.0,5464,1.8534149426021242,0.020532553717579685,3.1176730864968905,1.126332941587998,-23365.061100140814,-26695.7033917413,-25438.082513803714,2073.0214136629,3330.642291600485,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.1,7.0,5450,1.847816489325445,0.020515021136118108,3.1254106808220854,1.1214711987509147,-23383.234545829873,-26631.95867932664,-25391.498811792546,2008.2642659626727,3248.7241334967657,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
RUN_S05_ae9d76afcc57,PHASE5_ANALYZE_AND_EXPORT,D:\models\Qwen2.5-7B-Instruct,INSTRUCT,A,SPIKE_ONE_SIDED_POS,4e-05,1.15,7.0,5512,1.854909300870736,0.020801805439717408,3.1156248766661685,1.1190831277157511,-23549.384869831312,-26858.407814257098,-25614.667059181284,2065.2821893499713,3309.0229444257857,d7513f37dfef6ac197df439f23d61891c0289288c4ddd47c86137d9e5c59fbbe,no_git_metadata
